TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,anomaly_score,fraud_flag,ai_explanation
TX000001,AC00128,14.09,11-04-2023 16:29,Debit,San Diego,D000380,162.198.218.92,M015,ATM,70,Doctor,81,1,5112.21,04-11-2024 08:08,0.13514983377841822,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1351. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000002,AC00455,376.24,27-06-2023 16:44,Debit,Houston,D000051,13.149.61.4,M052,ATM,68,Doctor,141,1,13758.91,04-11-2024 08:09,0.057831308936582615,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.0578. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000003,AC00019,126.29,10-07-2023 18:16,Debit,Mesa,D000235,215.97.143.157,M009,Online,19,Student,56,1,1122.35,04-11-2024 08:07,0.1529951299858594,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1530. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000004,AC00070,184.5,05-05-2023 16:32,Debit,Raleigh,D000187,200.13.225.150,M002,Online,26,Student,25,1,8569.06,04-11-2024 08:09,0.12303222022092886,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1230. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000005,AC00411,13.45,16-10-2023 17:51,Credit,Atlanta,D000308,65.164.3.100,M091,Online,26,Student,198,1,7429.4,04-11-2024 08:06,0.11432566526924343,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1143. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000006,AC00393,92.15,03-04-2023 17:15,Debit,Oklahoma City,D000579,117.67.192.211,M054,ATM,18,Student,172,1,781.68,04-11-2024 08:06,0.1347346429249257,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1347. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000007,AC00199,7.08,15-02-2023 16:36,Credit,Seattle,D000241,140.212.253.222,M019,ATM,37,Doctor,139,1,13316.71,04-11-2024 08:10,0.07517055369628001,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.0752. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000008,AC00069,171.42,08-05-2023 17:47,Credit,Indianapolis,D000500,92.214.76.157,M020,Branch,67,Retired,291,1,2796.24,04-11-2024 08:10,0.06323460894927513,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.0632. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000009,AC00135,106.23,21-03-2023 16:59,Credit,Detroit,D000690,24.148.92.177,M035,Branch,51,Engineer,86,1,9095.14,04-11-2024 08:11,0.16739348466554083,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1674. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000010,AC00385,815.96,31-03-2023 16:06,Debit,Nashville,D000199,32.169.88.41,M007,ATM,55,Doctor,120,1,1021.88,04-11-2024 08:06,0.10745799522911609,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1075. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
